entity_id,event,target_entity_id,event_time
14,like,326,2016-02-12T15:06:42.590943+00:00
11,dislike,14,2016-02-11T11:05:54.431711+00:00
10,like,128,2016-02-11T05:57:47.927771+00:00
12,dislike,9,2016-02-11T11:12:51.655232+00:00
14,like,48,2016-02-16T12:03:40.583949+00:00
10,like,391,2016-02-11T06:07:05.500821+00:00
6,like,334,2016-01-15T02:18:29.558004+00:00
10,dislike,178,2016-02-12T04:53:38.946971+00:00
10,like,420,2016-02-11T05:56:08.261829+00:00
14,like,117,2016-02-12T15:13:58.289288+00:00
12,like,458,2016-02-11T11:12:48.352993+00:00
10,dislike,402,2016-02-12T04:52:10.115609+00:00
14,like,300,2016-02-16T12:04:33.647722+00:00
1,like,196,2015-12-23T20:36:39.124367+00:00
11,dislike,135,2016-02-11T11:05:51.902510+00:00
1,dislike,464,2016-02-12T08:44:55.976657+00:00
10,like,275,2016-02-11T05:57:59.941752+00:00
14,like,474,2016-02-12T15:13:51.948473+00:00
2,like,22,2015-12-25T03:57:42.857794+00:00
